Iter	size_mean	size_sd	size_best3	size_best3_hyd	ent_mean	ent_sd	ent_best3	ent_best3_hyd	hyd_mean	hyd_sd	hyd_best3	hyd_best3_hyd
0.0	49.28	23.9	NA	NA	8.25	1.3	NA	NA	-0.29	0.79	NA	NA
1.0	49.3	24.12	82.33	78.33	8.25	1.3	7.3	7.9	-0.29	0.79	-0.39	0.72
2.0	49.32	24.5	82.33	78.33	8.25	1.3	7.3	7.9	-0.29	0.79	-0.39	0.72
3.0	49.35	24.5	82.33	78.33	8.24	1.3	7.3	7.9	-0.29	0.79	-0.39	0.72
4.0	49.37	24.49	82.33	78.33	8.24	1.29	7.3	7.9	-0.29	0.79	-0.39	0.72
5.0	49.39	24.49	82.33	78.33	8.24	1.29	7.3	7.9	-0.29	0.79	-0.39	0.72
6.0	49.41	24.49	82.33	78.33	8.24	1.29	7.3	7.9	-0.29	0.79	-0.39	0.72
7.0	49.44	25.01	82.33	78.33	8.24	1.29	7.3	7.9	-0.29	0.78	-0.39	0.72
8.0	49.46	25.04	82.33	78.33	8.24	1.29	7.3	7.9	-0.29	0.78	-0.39	0.72
9.0	49.48	25.05	86.0	78.33	8.24	1.29	7.11	7.9	-0.29	0.78	-0.52	0.72
10.0	49.51	25.04	86.0	78.33	8.23	1.29	7.11	7.9	-0.29	0.78	-0.52	0.72
11.0	49.53	25.22	86.0	78.33	8.23	1.29	7.11	7.9	-0.29	0.78	-0.52	0.72
12.0	49.55	25.24	82.33	78.33	8.23	1.29	7.3	7.9	-0.29	0.78	-0.39	0.72
13.0	49.57	25.3	86.0	78.33	8.23	1.29	7.11	7.9	-0.29	0.78	-0.52	0.72
14.0	49.6	25.38	92.0	78.33	8.23	1.29	7.19	7.9	-0.29	0.78	-0.53	0.72
15.0	49.62	25.42	92.0	78.33	8.23	1.29	7.19	7.9	-0.29	0.78	-0.53	0.72
16.0	49.64	25.41	82.33	78.33	8.23	1.29	7.3	7.9	-0.29	0.78	-0.39	0.72
17.0	49.67	25.42	82.33	78.33	8.23	1.29	7.3	7.9	-0.29	0.78	-0.39	0.72
18.0	49.69	25.42	90.67	78.33	8.23	1.29	7.17	7.9	-0.29	0.78	-0.86	0.72
19.0	49.71	25.43	90.67	78.33	8.23	1.29	7.17	7.9	-0.29	0.78	-0.86	0.72
20.0	49.74	25.42	90.67	78.33	8.22	1.29	7.17	7.9	-0.29	0.78	-0.86	0.72
21.0	49.76	25.41	90.67	78.33	8.22	1.28	7.17	7.9	-0.29	0.78	-0.86	0.72
22.0	49.78	25.43	90.67	78.33	8.22	1.28	7.17	7.9	-0.29	0.78	-0.86	0.72
23.0	49.8	25.46	92.0	78.33	8.22	1.28	7.22	7.9	-0.29	0.78	-0.5	0.72
24.0	49.83	25.49	92.0	78.33	8.22	1.28	7.22	7.9	-0.29	0.78	-0.5	0.72
25.0	49.85	25.56	92.0	78.33	8.22	1.28	7.22	7.9	-0.29	0.78	-0.5	0.72
26.0	49.87	25.64	82.33	78.33	8.22	1.28	7.3	7.9	-0.29	0.78	-0.39	0.72
27.0	49.9	25.64	82.33	78.33	8.22	1.29	7.3	7.9	-0.29	0.78	-0.39	0.72
28.0	49.92	25.66	82.33	78.33	8.21	1.28	7.3	7.9	-0.28	0.78	-0.39	0.72
29.0	49.94	25.66	82.33	78.33	8.21	1.28	7.3	7.9	-0.29	0.78	-0.39	0.72
30.0	49.97	25.69	82.33	78.33	8.21	1.28	7.3	7.9	-0.29	0.78	-0.39	0.72
31.0	49.99	25.75	80.0	78.33	8.21	1.28	7.44	7.9	-0.29	0.78	-0.62	0.72
32.0	50.01	25.74	80.0	78.33	8.21	1.28	7.44	7.9	-0.29	0.78	-0.62	0.72
33.0	50.04	25.75	80.0	78.33	8.21	1.28	7.44	7.9	-0.29	0.78	-0.62	0.72
34.0	50.06	25.75	80.0	78.33	8.21	1.28	7.44	7.9	-0.29	0.78	-0.62	0.72
35.0	50.08	25.8	80.0	78.33	8.21	1.28	7.44	7.9	-0.29	0.78	-0.62	0.72
36.0	50.11	25.8	80.0	78.33	8.2	1.28	7.44	7.9	-0.29	0.78	-0.62	0.72
37.0	50.13	25.81	82.33	78.33	8.2	1.28	7.3	7.9	-0.29	0.78	-0.39	0.72
