N	F1	F2	F3	F4	F5	AUC1	AUC3	AUC5	AUC10
2105.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2104.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2103.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2102.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2101.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2100.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2099.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2098.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2097.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2096.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2095.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2094.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2093.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2092.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2091.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2090.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2089.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2088.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2087.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2086.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2085.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2084.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2083.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2082.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2081.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2080.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2079.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2078.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2077.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2076.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2075.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2074.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2073.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2072.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2071.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2070.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2069.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2068.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2067.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2066.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2065.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2064.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2063.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2062.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2061.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2060.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2059.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2058.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2057.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2056.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2055.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2054.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2053.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2052.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2051.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2050.0	54.0	550.0	71.0	2218.0	617.0	0.5209	0.5498	0.5703	0.6115
2049.0	54.0	550.0	71.0	2218.0	617.0	0.5209	0.5498	0.5703	0.6115
2048.0	54.0	550.0	71.0	2218.0	617.0	0.5209	0.5498	0.5703	0.6115
2047.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6115
2046.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6115
2045.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6115
2044.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6115
2043.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2042.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2041.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2040.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2039.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2038.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2037.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2036.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2035.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2034.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2033.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2032.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2031.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2030.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2029.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2028.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2027.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2026.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2025.0	54.0	71.0	550.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2024.0	54.0	550.0	71.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2023.0	54.0	550.0	71.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2022.0	54.0	550.0	71.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2021.0	54.0	550.0	71.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2020.0	54.0	550.0	71.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2019.0	54.0	550.0	71.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2018.0	54.0	550.0	71.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2017.0	54.0	550.0	71.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2016.0	54.0	550.0	71.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2015.0	54.0	550.0	71.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2014.0	54.0	550.0	71.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2013.0	54.0	550.0	71.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2012.0	54.0	550.0	71.0	617.0	2218.0	0.5209	0.5498	0.5703	0.6115
2011.0	54.0	550.0	71.0	617.0	558.0	0.5209	0.5498	0.5712	0.6115
2010.0	54.0	550.0	71.0	617.0	558.0	0.5209	0.5498	0.5712	0.6115
2009.0	54.0	550.0	71.0	617.0	558.0	0.5209	0.5498	0.5712	0.6115
2008.0	54.0	550.0	71.0	617.0	558.0	0.5209	0.5498	0.5712	0.6115
2007.0	54.0	550.0	71.0	617.0	558.0	0.5209	0.5498	0.5712	0.6115
2006.0	54.0	550.0	71.0	617.0	558.0	0.5209	0.5498	0.5712	0.6115
2005.0	54.0	550.0	71.0	617.0	558.0	0.5209	0.5498	0.5712	0.6115
2004.0	54.0	550.0	71.0	617.0	558.0	0.5209	0.5498	0.5712	0.6115
2003.0	54.0	550.0	71.0	617.0	558.0	0.5209	0.5498	0.5712	0.6115
2002.0	54.0	550.0	71.0	617.0	558.0	0.5209	0.5498	0.5712	0.6115
2001.0	54.0	550.0	71.0	617.0	558.0	0.5209	0.5498	0.5712	0.6115
2000.0	54.0	550.0	71.0	617.0	558.0	0.5209	0.5498	0.5712	0.6115
1999.0	54.0	550.0	71.0	617.0	558.0	0.5209	0.5498	0.5712	0.6115
1998.0	54.0	550.0	71.0	617.0	558.0	0.5209	0.5498	0.5712	0.6115
1997.0	54.0	550.0	71.0	617.0	558.0	0.5209	0.5498	0.5712	0.6115
1996.0	54.0	550.0	71.0	617.0	558.0	0.5209	0.5498	0.5712	0.6115
1995.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1994.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1993.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1992.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1991.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1990.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1989.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1988.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1987.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1986.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1985.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1984.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1983.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1982.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1981.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1980.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1979.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1978.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1977.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1976.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1975.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1974.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1973.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1972.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1971.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1970.0	54.0	71.0	617.0	550.0	2218.0	0.5209	0.5485	0.5703	0.6115
1969.0	54.0	550.0	71.0	617.0	20.0	0.5209	0.5498	0.5702	0.6123
1968.0	54.0	550.0	71.0	617.0	20.0	0.5209	0.5498	0.5702	0.6123
1967.0	54.0	550.0	71.0	617.0	20.0	0.5209	0.5498	0.5702	0.6123
1966.0	54.0	550.0	71.0	617.0	20.0	0.5209	0.5498	0.5702	0.6123
1965.0	54.0	550.0	71.0	617.0	20.0	0.5209	0.5498	0.5702	0.6123
1964.0	54.0	550.0	71.0	617.0	20.0	0.5209	0.5498	0.5702	0.6123
1963.0	54.0	550.0	71.0	617.0	20.0	0.5209	0.5498	0.5702	0.6123
1962.0	54.0	550.0	71.0	617.0	20.0	0.5209	0.5498	0.5702	0.6123
1961.0	54.0	550.0	71.0	617.0	20.0	0.5209	0.5498	0.5702	0.6123
1960.0	54.0	550.0	71.0	617.0	20.0	0.5209	0.5498	0.5702	0.6123
1959.0	54.0	550.0	71.0	617.0	20.0	0.5209	0.5498	0.5702	0.6123
1958.0	54.0	550.0	71.0	617.0	20.0	0.5209	0.5498	0.5702	0.6123
1957.0	54.0	550.0	617.0	71.0	20.0	0.5209	0.5486	0.5702	0.6114
1956.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1955.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1954.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1953.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1952.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1951.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1950.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1949.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1948.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1947.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1946.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1945.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1944.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1943.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1942.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1941.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1940.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1939.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1938.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1937.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1936.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1935.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1934.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1933.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1932.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1931.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1930.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1929.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1928.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1927.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1926.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1925.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1924.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1923.0	54.0	617.0	71.0	550.0	280.0	0.5209	0.5485	0.5699	0.6123
1922.0	54.0	71.0	550.0	617.0	348.0	0.5209	0.5498	0.5716	0.6119
1921.0	54.0	71.0	550.0	617.0	348.0	0.5209	0.5498	0.5716	0.6119
1920.0	54.0	71.0	550.0	617.0	348.0	0.5209	0.5498	0.5716	0.6119
1919.0	54.0	71.0	550.0	617.0	348.0	0.5209	0.5498	0.5716	0.6119
1918.0	54.0	71.0	550.0	617.0	348.0	0.5209	0.5498	0.5716	0.6119
1917.0	54.0	71.0	550.0	617.0	348.0	0.5209	0.5498	0.5716	0.6119
1916.0	54.0	71.0	550.0	617.0	348.0	0.5209	0.5498	0.5716	0.6119
1915.0	54.0	71.0	550.0	617.0	348.0	0.5209	0.5498	0.5716	0.6119
1914.0	54.0	71.0	550.0	617.0	348.0	0.5209	0.5498	0.5716	0.6119
1913.0	54.0	71.0	550.0	617.0	348.0	0.5209	0.5498	0.5716	0.6119
1912.0	54.0	71.0	550.0	617.0	348.0	0.5209	0.5498	0.5716	0.6119
1911.0	54.0	71.0	550.0	617.0	348.0	0.5209	0.5498	0.5716	0.6119
1910.0	54.0	71.0	550.0	617.0	348.0	0.5209	0.5498	0.5716	0.6119
1909.0	54.0	71.0	550.0	617.0	348.0	0.5209	0.5498	0.5716	0.6119
1908.0	54.0	71.0	550.0	617.0	348.0	0.5209	0.5498	0.5716	0.6119
1907.0	54.0	71.0	617.0	550.0	558.0	0.5209	0.5485	0.5712	0.6088
1906.0	54.0	71.0	617.0	550.0	558.0	0.5209	0.5485	0.5712	0.6088
1905.0	54.0	71.0	617.0	550.0	558.0	0.5209	0.5485	0.5712	0.6088
1904.0	54.0	71.0	617.0	550.0	558.0	0.5209	0.5485	0.5712	0.6088
1903.0	54.0	71.0	617.0	550.0	558.0	0.5209	0.5485	0.5712	0.6088
1902.0	54.0	71.0	617.0	550.0	558.0	0.5209	0.5485	0.5712	0.6088
1901.0	54.0	71.0	617.0	550.0	558.0	0.5209	0.5485	0.5712	0.6088
1900.0	54.0	71.0	617.0	550.0	558.0	0.5209	0.5485	0.5712	0.6088
1899.0	54.0	71.0	617.0	550.0	558.0	0.5209	0.5485	0.5712	0.6088
1898.0	54.0	71.0	617.0	550.0	558.0	0.5209	0.5485	0.5712	0.6088
1897.0	54.0	71.0	617.0	550.0	558.0	0.5209	0.5485	0.5712	0.6088
1896.0	54.0	71.0	617.0	550.0	558.0	0.5209	0.5485	0.5712	0.6088
1895.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.6123
1894.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.6123
1893.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.6123
1892.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.6123
1891.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.6123
1890.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.6123
1889.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.6123
1888.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.6123
1887.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.6123
1886.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.6123
1885.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.6123
1884.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.611
1883.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.611
1882.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.611
1881.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.611
1880.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.611
