N	F1	F2	F3	F4	F5	AUC1	AUC3	AUC5	AUC10
2175.0	57.0	52.0	116.0	197.0	544.0	0.5232	0.5598	0.5909	0.6434
2174.0	57.0	52.0	116.0	197.0	544.0	0.5232	0.5598	0.5909	0.6434
2173.0	57.0	52.0	116.0	197.0	544.0	0.5232	0.5598	0.5909	0.6434
2172.0	57.0	52.0	116.0	197.0	544.0	0.5232	0.5598	0.5909	0.6434
2171.0	57.0	52.0	116.0	197.0	544.0	0.5232	0.5598	0.5909	0.6434
2170.0	116.0	57.0	52.0	544.0	322.0	0.5194	0.5598	0.593	0.6438
2169.0	116.0	57.0	52.0	544.0	322.0	0.5194	0.5598	0.593	0.6438
2168.0	116.0	57.0	52.0	544.0	322.0	0.5194	0.5598	0.593	0.6438
2167.0	57.0	52.0	197.0	544.0	116.0	0.5232	0.5591	0.5909	0.6528
2166.0	57.0	52.0	197.0	544.0	116.0	0.5232	0.5591	0.5909	0.6528
2165.0	57.0	52.0	197.0	544.0	116.0	0.5232	0.5591	0.5909	0.6528
2164.0	57.0	52.0	116.0	197.0	160.0	0.5232	0.5598	0.5909	0.657
2163.0	57.0	52.0	197.0	116.0	160.0	0.5232	0.5591	0.5909	0.6534
2162.0	57.0	549.0	160.0	116.0	322.0	0.5232	0.5622	0.5916	0.6502
2161.0	57.0	549.0	160.0	116.0	322.0	0.5232	0.5622	0.5916	0.6502
2160.0	57.0	52.0	116.0	322.0	550.0	0.5232	0.5598	0.591	0.6471
2159.0	57.0	52.0	116.0	322.0	550.0	0.5232	0.5598	0.591	0.6471
2158.0	57.0	116.0	160.0	52.0	550.0	0.5232	0.5591	0.5892	0.6448
2157.0	57.0	116.0	160.0	52.0	550.0	0.5232	0.5591	0.5892	0.6448
2156.0	57.0	116.0	160.0	52.0	550.0	0.5232	0.5591	0.5892	0.6448
2155.0	57.0	116.0	160.0	52.0	550.0	0.5232	0.5591	0.5892	0.6448
2154.0	57.0	116.0	160.0	52.0	550.0	0.5232	0.5591	0.5892	0.6448
2153.0	57.0	52.0	160.0	116.0	54.0	0.5232	0.5613	0.5883	0.652
2152.0	57.0	52.0	160.0	116.0	54.0	0.5232	0.5613	0.5883	0.652
2151.0	57.0	52.0	160.0	116.0	54.0	0.5232	0.5613	0.5883	0.652
2150.0	57.0	52.0	116.0	197.0	275.0	0.5232	0.5598	0.5901	0.6526
