cluster1	cluster2	clusterNew	distance	size
408.0	409.0	2176.0	-7.752	223.0
410.0	2176.0	2177.0	-6.524	317.0
1807.0	1985.0	2178.0	-6.151	59.0
1478.0	1976.0	2179.0	-6.046	49.0
1559.0	1830.0	2180.0	-5.979	64.0
1069.0	1918.0	2181.0	-5.911	63.0
407.0	2177.0	2182.0	-5.804	408.0
424.0	1984.0	2183.0	-5.651	134.0
608.0	1509.0	2184.0	-5.393	84.0
1989.0	1998.0	2185.0	-5.266	37.0
216.0	387.0	2186.0	-5.168	213.0
836.0	1906.0	2187.0	-5.144	107.0
188.0	784.0	2188.0	-5.126	131.0
225.0	712.0	2189.0	-5.103	150.0
867.0	1372.0	2190.0	-5.094	111.0
232.0	2149.0	2191.0	-5.092	77.0
1297.0	1742.0	2192.0	-5.088	82.0
848.0	1957.0	2193.0	-5.087	65.0
456.0	2039.0	2194.0	-5.084	98.0
1699.0	2086.0	2195.0	-5.063	45.0
1242.0	2115.0	2196.0	-5.05	70.0
1296.0	1741.0	2197.0	-4.986	94.0
1831.0	2184.0	2198.0	-4.975	108.0
1567.0	1774.0	2199.0	-4.911	103.0
425.0	2178.0	2200.0	-4.867	148.0
162.0	1248.0	2201.0	-4.866	157.0
1071.0	1823.0	2202.0	-4.829	63.0
855.0	1982.0	2203.0	-4.799	100.0
650.0	1966.0	2204.0	-4.765	76.0
319.0	603.0	2205.0	-4.713	109.0
398.0	1352.0	2206.0	-4.695	128.0
1731.0	1872.0	2207.0	-4.692	34.0
1605.0	2195.0	2208.0	-4.687	84.0
1482.0	1757.0	2209.0	-4.646	65.0
422.0	1988.0	2210.0	-4.62	151.0
776.0	1922.0	2211.0	-4.613	78.0
537.0	1777.0	2212.0	-4.595	111.0
4.0	1975.0	2213.0	-4.518	113.0
1354.0	1377.0	2214.0	-4.502	106.0
1885.0	2204.0	2215.0	-4.47	88.0
538.0	1905.0	2216.0	-4.412	96.0
186.0	782.0	2217.0	-4.403	157.0
609.0	1510.0	2218.0	-4.4	100.0
361.0	613.0	2219.0	-4.388	114.0
1179.0	2111.0	2220.0	-4.381	59.0
1700.0	2087.0	2221.0	-4.379	53.0
1070.0	1919.0	2222.0	-4.365	62.0
1678.0	1748.0	2223.0	-4.365	56.0
217.0	388.0	2224.0	-4.356	195.0
170.0	2054.0	2225.0	-4.309	91.0
1404.0	1604.0	2226.0	-4.297	72.0
1990.0	2189.0	2227.0	-4.29	171.0
1250.0	1301.0	2228.0	-4.284	93.0
357.0	916.0	2229.0	-4.283	156.0
158.0	471.0	2230.0	-4.255	166.0
5.0	1177.0	2231.0	-4.252	150.0
1991.0	2183.0	2232.0	-4.252	152.0
583.0	1775.0	2233.0	-4.231	89.0
942.0	1934.0	2234.0	-4.231	99.0
547.0	1244.0	2235.0	-4.21	120.0
96.0	1937.0	2236.0	-4.196	108.0
561.0	1743.0	2237.0	-4.185	82.0
977.0	2135.0	2238.0	-4.182	54.0
161.0	1247.0	2239.0	-4.168	162.0
601.0	2029.0	2240.0	-4.165	63.0
560.0	1176.0	2241.0	-4.155	110.0
559.0	1175.0	2242.0	-4.134	109.0
897.0	2016.0	2243.0	-4.126	88.0
164.0	2179.0	2244.0	-4.125	153.0
1557.0	1680.0	2245.0	-4.125	67.0
1107.0	2096.0	2246.0	-4.097	42.0
2182.0	2194.0	2247.0	-4.085	506.0
1064.0	1960.0	2248.0	-4.078	84.0
883.0	2014.0	2249.0	-4.077	88.0
67.0	219.0	2250.0	-4.066	131.0
1682.0	1783.0	2251.0	-4.062	52.0
835.0	874.0	2252.0	-4.051	100.0
97.0	597.0	2253.0	-4.05	121.0
46.0	1161.0	2254.0	-4.046	118.0
1401.0	1780.0	2255.0	-4.043	61.0
289.0	1936.0	2256.0	-4.04	101.0
1479.0	1491.0	2257.0	-4.04	85.0
1399.0	1448.0	2258.0	-4.028	71.0
78.0	980.0	2259.0	-4.016	101.0
743.0	761.0	2260.0	-4.001	109.0
644.0	709.0	2261.0	-3.995	162.0
956.0	2172.0	2262.0	-3.989	58.0
187.0	2056.0	2263.0	-3.974	105.0
167.0	808.0	2264.0	-3.969	140.0
73.0	1974.0	2265.0	-3.963	75.0
1868.0	2185.0	2266.0	-3.959	47.0
421.0	1824.0	2267.0	-3.949	130.0
1061.0	1599.0	2268.0	-3.949	92.0
779.0	1382.0	2269.0	-3.939	109.0
1186.0	1487.0	2270.0	-3.93	73.0
1038.0	1556.0	2271.0	-3.927	88.0
430.0	2222.0	2272.0	-3.923	124.0
875.0	2187.0	2273.0	-3.913	176.0
773.0	1633.0	2274.0	-3.901	85.0
234.0	1416.0	2275.0	-3.889	101.0
1226.0	1630.0	2276.0	-3.886	86.0
1185.0	1486.0	2277.0	-3.885	84.0
169.0	2053.0	2278.0	-3.879	77.0
433.0	786.0	2279.0	-3.872	127.0
1060.0	1598.0	2280.0	-3.869	101.0
774.0	1645.0	2281.0	-3.862	83.0
144.0	1315.0	2282.0	-3.859	91.0
651.0	1967.0	2283.0	-3.852	70.0
150.0	1239.0	2284.0	-3.844	166.0
149.0	1238.0	2285.0	-3.828	116.0
