Iter	size_mean	size_sd	size_best3	size_best3_hyd	ent_mean	ent_sd	ent_best3	ent_best3_hyd	hyd_mean	hyd_sd	hyd_best3	hyd_best3_hyd
0.0	18.6	8.5	NA	NA	9.45	1.26	NA	NA	-0.26	0.72	NA	NA
1.0	18.61	8.55	26.0	22.33	9.44	1.26	8.21	8.6	-0.26	0.72	-0.65	0.57
2.0	18.62	8.54	26.0	22.33	9.44	1.26	8.21	8.6	-0.26	0.71	-0.65	0.57
3.0	18.63	8.58	39.67	22.33	9.44	1.26	7.93	8.6	-0.26	0.71	-0.65	0.57
4.0	18.65	8.6	30.67	31.67	9.44	1.26	8.07	8.85	-0.26	0.71	-0.48	0.82
5.0	18.66	8.67	20.33	31.67	9.44	1.26	8.59	8.85	-0.26	0.71	0.0	0.82
6.0	18.67	8.68	27.0	31.67	9.44	1.26	8.22	8.85	-0.26	0.71	0.05	0.82
7.0	18.68	8.68	27.67	29.0	9.43	1.26	8.09	8.82	-0.26	0.71	-0.63	0.61
8.0	18.7	8.77	29.0	29.0	9.43	1.26	7.56	8.82	-0.26	0.71	-1.2	0.61
9.0	18.71	8.77	29.0	29.0	9.43	1.25	7.56	8.82	-0.26	0.71	-1.2	0.61
10.0	18.72	8.77	29.0	29.0	9.43	1.25	7.56	8.82	-0.26	0.71	-1.2	0.61
11.0	18.73	8.77	32.67	29.0	9.42	1.25	7.76	8.82	-0.26	0.72	-1.2	0.61
12.0	18.75	8.77	45.67	29.0	9.42	1.25	7.88	8.82	-0.26	0.72	-0.34	0.61
13.0	18.76	8.83	20.33	29.0	9.42	1.25	8.5	8.82	-0.26	0.72	-0.5	0.61
14.0	18.77	8.86	45.67	29.0	9.42	1.26	7.88	8.82	-0.26	0.72	-0.34	0.61
15.0	18.78	8.87	24.33	29.0	9.42	1.26	8.41	8.82	-0.26	0.72	-0.28	0.61
16.0	18.8	8.98	30.67	29.0	9.42	1.26	8.07	8.82	-0.26	0.72	-0.48	0.61
17.0	18.81	8.98	52.0	29.0	9.42	1.26	7.54	8.82	-0.26	0.72	-0.54	0.61
18.0	18.82	9.02	26.0	29.0	9.42	1.26	8.21	8.82	-0.26	0.72	-0.65	0.61
19.0	18.83	9.02	25.0	29.0	9.41	1.26	8.27	8.82	-0.26	0.72	-0.72	0.61
20.0	18.85	9.03	22.33	29.0	9.41	1.26	8.45	8.82	-0.26	0.72	0.26	0.61
21.0	18.86	9.04	22.33	29.0	9.41	1.25	8.45	8.82	-0.26	0.72	0.26	0.61
22.0	18.87	9.05	29.0	29.0	9.41	1.25	7.65	8.82	-0.26	0.72	-0.7	0.61
23.0	18.89	9.08	27.67	30.0	9.41	1.26	8.09	8.73	-0.26	0.72	-0.63	0.82
24.0	18.9	9.1	47.33	30.33	9.4	1.26	7.77	8.39	-0.27	0.71	-0.32	0.58
25.0	18.91	9.17	21.33	30.33	9.4	1.26	8.43	8.39	-0.27	0.71	-0.43	0.58
26.0	18.92	9.18	21.33	38.0	9.4	1.26	8.43	8.52	-0.27	0.71	-0.43	0.83
27.0	18.94	9.19	21.33	38.0	9.4	1.26	8.43	8.52	-0.27	0.71	-0.43	0.83
28.0	18.95	9.19	50.33	38.0	9.4	1.26	7.56	8.52	-0.27	0.71	-1.06	0.83
29.0	18.96	9.19	52.0	38.0	9.4	1.26	7.54	8.52	-0.27	0.71	-0.54	0.83
30.0	18.97	9.19	52.0	38.0	9.39	1.25	7.54	8.52	-0.27	0.71	-0.54	0.83
31.0	18.99	9.21	52.0	22.33	9.39	1.26	7.54	8.6	-0.27	0.71	-0.54	0.57
