N	F1	F2	F3	F4	F5	AUC1	AUC3	AUC5	AUC10
1507.0	204.0	319.0	691.0	16.0	797.0	0.6651	0.8073	0.8511	0.9023
1506.0	204.0	319.0	691.0	16.0	797.0	0.6651	0.8073	0.8511	0.9023
1505.0	204.0	92.0	691.0	98.0	281.0	0.6651	0.7805	0.8136	0.8863
1504.0	691.0	204.0	553.0	717.0	281.0	0.6437	0.7999	0.8376	0.8895
1503.0	319.0	691.0	797.0	204.0	502.0	0.6279	0.7804	0.8493	0.887
1502.0	691.0	169.0	204.0	319.0	860.0	0.6437	0.7994	0.8472	0.9079
1501.0	691.0	204.0	281.0	319.0	203.0	0.6437	0.7856	0.8339	0.8964
1500.0	204.0	98.0	281.0	1515.0	16.0	0.6651	0.7561	0.7786	0.8741
1499.0	204.0	98.0	281.0	1515.0	16.0	0.6651	0.7561	0.7786	0.8741
1498.0	204.0	98.0	281.0	1515.0	16.0	0.6651	0.7561	0.7786	0.8741
1497.0	16.0	204.0	319.0	553.0	98.0	0.6516	0.7733	0.8317	0.9009
1496.0	691.0	1515.0	319.0	203.0	204.0	0.6437	0.7663	0.8163	0.8746
1495.0	319.0	797.0	281.0	159.0	691.0	0.6279	0.7371	0.8195	0.8694
1494.0	1515.0	691.0	319.0	204.0	797.0	0.6658	0.7663	0.8369	0.8908
1493.0	319.0	691.0	553.0	204.0	797.0	0.6279	0.7825	0.8542	0.8754
1492.0	204.0	553.0	691.0	690.0	281.0	0.6651	0.7999	0.8287	0.8802
1491.0	691.0	204.0	1515.0	797.0	319.0	0.6437	0.7856	0.8369	0.8703
1490.0	204.0	319.0	691.0	1515.0	16.0	0.6651	0.8073	0.8179	0.8477
1489.0	204.0	319.0	797.0	202.0	629.0	0.6651	0.7901	0.8024	0.8402
1488.0	691.0	281.0	169.0	203.0	181.0	0.6437	0.7468	0.7969	0.8883
1487.0	281.0	691.0	169.0	319.0	286.0	0.6103	0.7468	0.8488	0.8878
1486.0	204.0	691.0	98.0	319.0	286.0	0.6651	0.8163	0.8809	0.9048
1485.0	204.0	281.0	691.0	16.0	502.0	0.6651	0.7856	0.8276	0.8944
1484.0	1515.0	691.0	281.0	204.0	283.0	0.6658	0.7676	0.8312	0.8867
1483.0	691.0	319.0	281.0	690.0	204.0	0.6437	0.769	0.838	0.8705
1482.0	691.0	319.0	281.0	204.0	1515.0	0.6437	0.769	0.8301	0.8759
1481.0	691.0	319.0	281.0	204.0	1515.0	0.6437	0.769	0.8301	0.8759
1480.0	319.0	1515.0	204.0	691.0	502.0	0.6279	0.7635	0.8315	0.8684
1479.0	691.0	1515.0	204.0	281.0	319.0	0.6437	0.7856	0.8301	0.8806
1478.0	691.0	1515.0	204.0	281.0	319.0	0.6437	0.7856	0.8301	0.8806
1477.0	204.0	1515.0	691.0	797.0	319.0	0.6651	0.7856	0.8369	0.8707
1476.0	1515.0	204.0	281.0	797.0	444.0	0.6658	0.7509	0.801	0.8497
1475.0	691.0	1515.0	204.0	203.0	797.0	0.6437	0.7856	0.8141	0.8658
1474.0	204.0	1530.0	691.0	319.0	203.0	0.6651	0.7874	0.8479	0.8962
1473.0	691.0	1515.0	319.0	203.0	553.0	0.6437	0.7663	0.81	0.8917
1472.0	204.0	319.0	797.0	203.0	16.0	0.6651	0.7901	0.8357	0.8603
1471.0	691.0	204.0	797.0	98.0	179.0	0.6437	0.8077	0.8481	0.8714
1470.0	204.0	1515.0	203.0	797.0	156.0	0.6651	0.7376	0.783	0.8739
1469.0	204.0	691.0	1515.0	797.0	179.0	0.6651	0.7856	0.8249	0.8933
1468.0	204.0	691.0	502.0	319.0	1515.0	0.6651	0.7832	0.8315	0.8874
1467.0	1515.0	319.0	203.0	204.0	860.0	0.6658	0.7452	0.8041	0.8745
1466.0	319.0	502.0	204.0	203.0	444.0	0.6279	0.7778	0.7795	0.8515
1465.0	319.0	797.0	204.0	691.0	1515.0	0.6279	0.7901	0.8369	0.8895
1464.0	797.0	203.0	204.0	16.0	691.0	0.6178	0.752	0.8353	0.8621
1463.0	691.0	204.0	1530.0	502.0	797.0	0.6437	0.7874	0.8342	0.8757
1462.0	319.0	1530.0	204.0	797.0	691.0	0.6279	0.778	0.8561	0.8935
1461.0	797.0	203.0	1530.0	1515.0	204.0	0.6178	0.7547	0.7958	0.8728
1460.0	797.0	203.0	1530.0	1515.0	204.0	0.6178	0.7547	0.7958	0.8728
1459.0	204.0	691.0	203.0	1515.0	502.0	0.6651	0.78	0.8143	0.886
1458.0	319.0	691.0	204.0	1515.0	553.0	0.6279	0.8073	0.8296	0.8886
1457.0	319.0	204.0	1515.0	444.0	691.0	0.6279	0.7635	0.8218	0.8612
1456.0	319.0	204.0	691.0	797.0	444.0	0.6279	0.8073	0.8369	0.9073
1455.0	319.0	204.0	691.0	281.0	1018.0	0.6279	0.8073	0.84	0.8842
1454.0	204.0	319.0	691.0	281.0	502.0	0.6651	0.8073	0.8411	0.887
1453.0	204.0	691.0	1515.0	1530.0	502.0	0.6651	0.7856	0.8405	0.8709
1452.0	184.0	169.0	691.0	1532.0	98.0	0.5889	0.7683	0.7856	0.864
1451.0	691.0	797.0	319.0	184.0	290.0	0.6437	0.7804	0.8409	0.8622
1450.0	691.0	797.0	319.0	184.0	290.0	0.6437	0.7804	0.8409	0.8622
1449.0	169.0	319.0	691.0	690.0	290.0	0.5997	0.7802	0.8245	0.8928
1448.0	319.0	169.0	691.0	290.0	613.0	0.6279	0.7802	0.8506	0.9077
1447.0	204.0	691.0	319.0	797.0	1515.0	0.6651	0.8073	0.8369	0.8865
1446.0	204.0	691.0	319.0	797.0	1515.0	0.6651	0.8073	0.8369	0.8865
1445.0	691.0	204.0	319.0	281.0	553.0	0.6437	0.8073	0.8479	0.9009
1444.0	204.0	502.0	691.0	1530.0	1515.0	0.6651	0.7832	0.8405	0.8707
1443.0	204.0	281.0	319.0	797.0	444.0	0.6651	0.7884	0.8059	0.8418
1442.0	691.0	319.0	1515.0	204.0	281.0	0.6437	0.7663	0.8301	0.8854
1441.0	319.0	204.0	1515.0	691.0	502.0	0.6279	0.7635	0.8315	0.8773
1440.0	204.0	1515.0	319.0	1530.0	860.0	0.6651	0.7635	0.8172	0.8827
1439.0	204.0	1515.0	319.0	1530.0	860.0	0.6651	0.7635	0.8172	0.8827
1438.0	204.0	1515.0	319.0	1530.0	860.0	0.6651	0.7635	0.8172	0.8827
1437.0	204.0	691.0	1530.0	797.0	1563.0	0.6651	0.7874	0.8256	0.8563
1436.0	204.0	691.0	797.0	16.0	1551.0	0.6651	0.8077	0.8306	0.8332
1435.0	204.0	691.0	1530.0	1515.0	1018.0	0.6651	0.7874	0.8421	0.8899
1434.0	691.0	319.0	1515.0	502.0	204.0	0.6437	0.7663	0.8315	0.8922
1433.0	1515.0	204.0	319.0	691.0	286.0	0.6658	0.7635	0.8394	0.8572
1432.0	319.0	691.0	1515.0	1530.0	281.0	0.6279	0.7663	0.8263	0.8759
1431.0	691.0	203.0	1515.0	204.0	444.0	0.6437	0.7701	0.8042	0.8795
1430.0	319.0	204.0	691.0	16.0	281.0	0.6279	0.8073	0.8445	0.8886
1429.0	319.0	691.0	204.0	16.0	281.0	0.6279	0.8073	0.8445	0.8779
1428.0	204.0	16.0	502.0	691.0	797.0	0.6651	0.7701	0.8342	0.8457
1427.0	691.0	319.0	204.0	502.0	98.0	0.6437	0.8073	0.8569	0.8931
1426.0	691.0	204.0	319.0	159.0	16.0	0.6437	0.8073	0.8292	0.8684
