N	F1	F2	F3	F4	F5	AUC1	AUC3	AUC5	AUC10
1507.0	691.0	717.0	181.0	653.0	286.0	0.6437	0.7651	0.7498	0.8062
1506.0	691.0	717.0	181.0	653.0	286.0	0.6437	0.7651	0.7498	0.8062
1505.0	691.0	717.0	181.0	653.0	286.0	0.6437	0.7651	0.7498	0.8062
1504.0	691.0	71.0	663.0	717.0	5.0	0.6437	0.6864	0.7426	0.8297
1503.0	691.0	71.0	663.0	717.0	5.0	0.6437	0.6864	0.7426	0.8297
1502.0	691.0	71.0	663.0	717.0	5.0	0.6437	0.6864	0.7426	0.8297
1501.0	691.0	717.0	71.0	184.0	179.0	0.6437	0.701	0.7629	0.8332
1500.0	691.0	717.0	71.0	184.0	179.0	0.6437	0.701	0.7629	0.8332
1499.0	691.0	717.0	71.0	184.0	179.0	0.6437	0.701	0.7629	0.8332
1498.0	691.0	717.0	71.0	184.0	179.0	0.6437	0.701	0.7629	0.8332
1497.0	691.0	717.0	71.0	184.0	179.0	0.6437	0.701	0.7629	0.8332
1496.0	691.0	717.0	71.0	184.0	179.0	0.6437	0.701	0.7629	0.8332
1495.0	691.0	717.0	71.0	184.0	179.0	0.6437	0.701	0.7629	0.8332
1494.0	691.0	717.0	71.0	286.0	184.0	0.6437	0.701	0.7583	0.8702
1493.0	691.0	717.0	71.0	286.0	184.0	0.6437	0.701	0.7583	0.8702
1492.0	691.0	717.0	71.0	286.0	184.0	0.6437	0.701	0.7583	0.8702
1491.0	691.0	717.0	71.0	286.0	184.0	0.6437	0.701	0.7583	0.8702
1490.0	691.0	717.0	71.0	286.0	184.0	0.6437	0.701	0.7583	0.8702
1489.0	691.0	717.0	71.0	286.0	184.0	0.6437	0.701	0.7583	0.8702
1488.0	691.0	717.0	71.0	286.0	184.0	0.6437	0.701	0.7583	0.8702
1487.0	691.0	717.0	71.0	286.0	184.0	0.6437	0.701	0.7583	0.8702
1486.0	691.0	717.0	71.0	286.0	184.0	0.6437	0.701	0.7583	0.8702
1485.0	691.0	1530.0	717.0	71.0	181.0	0.6437	0.7536	0.7834	0.8513
1484.0	691.0	181.0	71.0	1530.0	717.0	0.6437	0.7152	0.7834	0.8457
1483.0	691.0	181.0	71.0	1530.0	717.0	0.6437	0.7152	0.7834	0.8457
1482.0	691.0	71.0	1530.0	717.0	286.0	0.6437	0.7177	0.7656	0.8362
1481.0	691.0	71.0	1530.0	717.0	286.0	0.6437	0.7177	0.7656	0.8362
1480.0	691.0	71.0	1530.0	717.0	286.0	0.6437	0.7177	0.7656	0.8362
1479.0	691.0	71.0	1530.0	717.0	286.0	0.6437	0.7177	0.7656	0.8362
1478.0	691.0	71.0	1530.0	717.0	286.0	0.6437	0.7177	0.7656	0.8362
1477.0	691.0	181.0	717.0	169.0	286.0	0.6437	0.7651	0.8276	0.8472
1476.0	691.0	181.0	717.0	169.0	286.0	0.6437	0.7651	0.8276	0.8472
1475.0	691.0	181.0	717.0	169.0	286.0	0.6437	0.7651	0.8276	0.8472
1474.0	691.0	181.0	717.0	169.0	286.0	0.6437	0.7651	0.8276	0.8472
1473.0	691.0	1530.0	71.0	181.0	286.0	0.6437	0.7177	0.7762	0.8531
1472.0	691.0	1530.0	71.0	181.0	286.0	0.6437	0.7177	0.7762	0.8531
1471.0	691.0	1530.0	5.0	71.0	181.0	0.6437	0.7362	0.771	0.8497
1470.0	691.0	1530.0	169.0	717.0	181.0	0.6437	0.7531	0.8292	0.8497
1469.0	691.0	1530.0	169.0	717.0	181.0	0.6437	0.7531	0.8292	0.8497
1468.0	691.0	1530.0	169.0	717.0	181.0	0.6437	0.7531	0.8292	0.8497
1467.0	691.0	1530.0	169.0	717.0	181.0	0.6437	0.7531	0.8292	0.8497
1466.0	691.0	181.0	717.0	5.0	1530.0	0.6437	0.7651	0.806	0.8497
1465.0	691.0	181.0	717.0	5.0	1530.0	0.6437	0.7651	0.806	0.8497
1464.0	691.0	1530.0	184.0	658.0	1545.0	0.6437	0.7412	0.7599	0.8165
1463.0	691.0	1530.0	184.0	658.0	1545.0	0.6437	0.7412	0.7599	0.8165
1462.0	691.0	1530.0	184.0	658.0	1545.0	0.6437	0.7412	0.7599	0.8165
1461.0	691.0	184.0	1530.0	181.0	169.0	0.6437	0.7412	0.7989	0.842
1460.0	691.0	184.0	1530.0	181.0	169.0	0.6437	0.7412	0.7989	0.842
1459.0	691.0	184.0	1530.0	181.0	169.0	0.6437	0.7412	0.7989	0.842
