ORF	fam	substrate	YNL090W	YMR138W	YKR059W	YOR094W	YBR164C	YKR014C	YNL093W	YDL084W	YOR185C	YFL005W	YDR021W	YHR022C	YJR057W	YHR065C	YFL038C	YDR248C	YFL066C	YCR027C	YBR264C	YOR089C	YGR205W	YLR293C	YGL091C	YOR046C	YIL003W	YKL154W	YBR227C	YDL192W
YDR021W	c.37.1.19	+	0.034	0.0626	0.1626	0.0662	0.0681	0.0313	0.0305	0.65	0.0376	0.037	0.0	0.0297	0.0332	0.5348	0.037	0.052	0.6262	0.0429	0.0331	0.0332	0.0437	0.0357	0.5548	0.1544	0.1974	0.0366	0.4068	0.0637
YHR022C	c.37.1.8	-	0.3886	0.2298	0.035	0.2758	0.2663	0.329	0.3602	0.0285	0.3278	0.3256	0.0297	0.0	0.0763	0.0299	0.3459	0.0823	0.0296	0.3275	0.3399	0.384	0.0348	0.324	0.0284	0.0517	0.0481	0.1805	0.0233	0.2473
YJR057W	c.37.1.1	-	0.0748	0.1301	0.0402	0.1399	0.1471	0.082	0.0903	0.0357	0.0765	0.0773	0.0332	0.0763	0.0	0.0322	0.0824	0.4917	0.0362	0.0747	0.1042	0.0857	0.0997	0.0694	0.0292	0.062	0.0359	0.081	0.0395	0.1206
YHR065C	c.37.1.19	-	0.0392	0.0556	0.1344	0.0559	0.0543	0.0322	0.0324	0.4666	0.0341	0.0323	0.5348	0.0299	0.0322	0.0	0.0354	0.0392	0.4865	0.0377	0.033	0.0323	0.0342	0.0332	0.3641	0.1257	0.1393	0.0295	0.2962	0.0509
YFL038C	c.37.1.8	+	0.411	0.2649	0.0423	0.3105	0.3106	0.3971	0.4271	0.0395	0.3907	0.5093	0.037	0.3459	0.0824	0.0354	0.0	0.0948	0.0444	0.4607	0.683	0.4277	0.0396	0.4086	0.0347	0.0748	0.0526	0.1805	0.0378	0.2671
YDR248C	c.37.1.17	-	0.0862	0.156	0.0468	0.1581	0.1619	0.0747	0.0866	0.0421	0.0936	0.0854	0.052	0.0823	0.4917	0.0392	0.0948	0.0	0.048	0.0787	0.0993	0.0841	0.1207	0.0815	0.0352	0.0773	0.0662	0.0783	0.0465	0.148
YFL066C	c.37.1.19	+	0.0473	0.0522	0.1717	0.0531	0.0466	0.0377	0.0424	0.5875	0.0334	0.041	0.6262	0.0296	0.0362	0.4865	0.0444	0.048	0.0	0.046	0.0363	0.0365	0.0463	0.0373	0.4877	0.1606	0.1986	0.0416	0.4328	0.0526
YCR027C	c.37.1.8	+	0.4118	0.2518	0.0462	0.2889	0.2745	0.3462	0.3937	0.0445	0.3513	0.4576	0.0429	0.3275	0.0747	0.0377	0.4607	0.0787	0.046	0.0	0.4418	0.3947	0.0298	0.3479	0.032	0.0664	0.0529	0.191	0.0415	0.2702
YBR264C	c.37.1.8	+	0.3738	0.2701	0.0425	0.296	0.294	0.3813	0.4025	0.0346	0.405	0.4387	0.0331	0.3399	0.1042	0.033	0.683	0.0993	0.0363	0.4418	0.0	0.4238	0.039	0.3708	0.0317	0.0567	0.0446	0.1871	0.0295	0.2701
YOR089C	c.37.1.8	+	0.5459	0.2418	0.0437	0.2818	0.2806	0.4973	0.5558	0.0352	0.4196	0.4115	0.0332	0.384	0.0857	0.0323	0.4277	0.0841	0.0365	0.3947	0.4238	0.0	0.033	0.4137	0.0304	0.076	0.0355	0.2049	0.0374	0.2705
YGR205W	c.37.1.6	-	0.0342	0.0673	0.0444	0.0681	0.0688	0.0278	0.033	0.0452	0.0308	0.0416	0.0437	0.0348	0.0997	0.0342	0.0396	0.1207	0.0463	0.0298	0.039	0.033	0.0	0.037	0.0354	0.0596	0.0435	0.05	0.031	0.0521
YLR293C	c.37.1.8	+	0.4323	0.2338	0.0399	0.2658	0.2712	0.3613	0.3895	0.0362	0.5884	0.3605	0.0357	0.324	0.0694	0.0332	0.4086	0.0815	0.0373	0.3479	0.3708	0.4137	0.037	0.0	0.026	0.0662	0.035	0.2022	0.0249	0.2511
YGL091C	c.37.1.10	-	0.0263	0.0363	0.1515	0.0475	0.0451	0.0262	0.0302	0.4688	0.0223	0.037	0.5548	0.0284	0.0292	0.3641	0.0347	0.0352	0.4877	0.032	0.0317	0.0304	0.0354	0.026	0.0	0.073	0.2012	0.0244	0.2969	0.0445
YOR046C	c.37.1.19	+	0.0694	0.1219	0.1806	0.1185	0.1085	0.0593	0.0629	0.1492	0.0665	0.0729	0.1544	0.0517	0.062	0.1257	0.0748	0.0773	0.1606	0.0664	0.0567	0.076	0.0596	0.0662	0.073	0.0	0.1882	0.0665	0.1057	0.12
YIL003W	c.37.1.10	+	0.0426	0.0884	0.2401	0.074	0.098	0.0431	0.0401	0.1773	0.0427	0.0485	0.1974	0.0481	0.0359	0.1393	0.0526	0.0662	0.1986	0.0529	0.0446	0.0355	0.0435	0.035	0.2012	0.1882	0.0	0.0397	0.1441	0.0772
YKL154W	c.37.1.8	-	0.2524	0.2213	0.0397	0.277	0.2632	0.1968	0.2098	0.0365	0.204	0.1958	0.0366	0.1805	0.081	0.0295	0.1805	0.0783	0.0416	0.191	0.1871	0.2049	0.05	0.2022	0.0244	0.0665	0.0397	0.0	0.0304	0.2504
YBR227C	c.37.1.20	-	0.0322	0.0473	0.1197	0.0512	0.0498	0.0333	0.0357	0.3998	0.0221	0.0352	0.4068	0.0233	0.0395	0.2962	0.0378	0.0465	0.4328	0.0415	0.0295	0.0374	0.031	0.0249	0.2969	0.1057	0.1441	0.0304	0.0	0.0463
YDL192W	c.37.1.8	-	0.2538	0.521	0.0609	0.5861	0.5644	0.2409	0.2402	0.0588	0.2639	0.2552	0.0637	0.2473	0.1206	0.0509	0.2671	0.148	0.0526	0.2702	0.2701	0.2705	0.0521	0.2511	0.0445	0.12	0.0772	0.2504	0.0463	0.0
