Iter	size_mean	size_sd	size_best3	size_best3_hyd	ent_mean	ent_sd	ent_best3	ent_best3_hyd	hyd_mean	hyd_sd	hyd_best3	hyd_best3_hyd
72.0	50.87	26.18	77.0	103.67	8.16	1.31	7.5	7.45	-0.3	0.78	-0.99	0.63
73.0	50.89	26.18	77.0	103.67	8.16	1.31	7.5	7.45	-0.3	0.78	-0.99	0.63
74.0	50.92	26.18	77.0	103.67	8.16	1.31	7.5	7.45	-0.3	0.78	-0.99	0.63
75.0	50.94	26.2	75.67	103.67	8.16	1.31	8.01	7.45	-0.3	0.78	-0.04	0.63
76.0	50.97	26.23	83.33	103.67	8.16	1.31	7.49	7.45	-0.3	0.78	-0.17	0.63
77.0	50.99	26.23	78.67	103.67	8.16	1.31	7.53	7.45	-0.3	0.78	-0.5	0.63
78.0	51.01	26.23	74.0	103.67	8.16	1.31	7.98	7.45	-0.3	0.78	-0.54	0.63
79.0	51.04	26.26	74.0	103.67	8.15	1.31	7.98	7.45	-0.3	0.78	-0.54	0.63
80.0	51.06	26.31	74.0	103.67	8.15	1.31	7.98	7.45	-0.3	0.78	-0.54	0.63
81.0	51.09	26.3	74.0	103.67	8.15	1.31	7.98	7.45	-0.3	0.78	-0.54	0.63
82.0	51.11	26.33	74.0	103.67	8.15	1.31	7.98	7.45	-0.3	0.78	-0.54	0.63
83.0	51.14	26.32	74.0	103.67	8.15	1.3	7.98	7.45	-0.3	0.78	-0.54	0.63
84.0	51.16	26.33	75.67	103.67	8.15	1.3	8.01	7.45	-0.3	0.77	-0.04	0.63
85.0	51.19	26.34	83.33	103.67	8.15	1.3	7.49	7.45	-0.3	0.77	-0.17	0.63
86.0	51.21	26.33	83.33	103.67	8.14	1.3	7.49	7.45	-0.3	0.77	-0.17	0.63
87.0	51.23	26.41	74.0	103.67	8.14	1.3	7.98	7.45	-0.3	0.77	-0.54	0.63
88.0	51.26	26.42	104.0	103.67	8.14	1.3	6.99	7.45	-0.3	0.77	-0.44	0.63
89.0	51.28	26.43	83.33	103.67	8.14	1.3	7.49	7.45	-0.3	0.77	-0.17	0.63
90.0	51.31	26.53	83.33	103.67	8.14	1.3	7.49	7.45	-0.3	0.77	-0.17	0.63
91.0	51.33	26.55	83.33	103.67	8.14	1.3	7.49	7.45	-0.3	0.77	-0.17	0.63
92.0	51.36	26.55	83.33	103.67	8.14	1.3	7.49	7.45	-0.3	0.77	-0.17	0.63
93.0	51.38	26.56	101.0	103.67	8.14	1.3	7.47	7.45	-0.3	0.77	0.01	0.63
94.0	51.41	26.56	101.0	103.67	8.14	1.3	7.47	7.45	-0.3	0.77	0.01	0.63
95.0	51.43	26.62	101.0	103.67	8.14	1.3	7.47	7.45	-0.3	0.77	0.01	0.63
96.0	51.46	26.62	83.33	103.67	8.13	1.3	7.49	7.45	-0.3	0.77	-0.17	0.63
97.0	51.48	26.64	83.33	103.67	8.13	1.3	7.49	7.45	-0.3	0.77	-0.17	0.63
98.0	51.51	26.82	105.33	103.67	8.13	1.3	6.83	7.45	-0.3	0.77	-0.78	0.63
99.0	51.53	26.81	105.33	103.67	8.13	1.3	6.83	7.45	-0.3	0.77	-0.78	0.63
100.0	51.55	26.82	105.33	103.67	8.13	1.3	6.83	7.45	-0.3	0.77	-0.78	0.63
101.0	51.58	26.84	96.33	103.67	8.13	1.3	7.52	7.45	-0.3	0.77	-0.32	0.63
102.0	51.6	26.85	101.0	103.67	8.13	1.3	7.47	7.45	-0.3	0.77	0.01	0.63
103.0	51.63	26.87	74.33	103.67	8.13	1.3	7.3	7.45	-0.3	0.77	-0.36	0.63
104.0	51.65	26.92	83.33	103.67	8.13	1.3	7.49	7.45	-0.3	0.77	-0.17	0.63
105.0	51.68	26.95	101.0	103.67	8.13	1.3	7.47	7.45	-0.3	0.77	0.01	0.63
106.0	51.7	27.01	83.33	103.67	8.12	1.3	7.49	7.45	-0.3	0.77	-0.17	0.63
107.0	51.73	27.03	83.33	103.67	8.12	1.3	7.49	7.45	-0.3	0.77	-0.17	0.63
108.0	51.75	27.07	83.33	103.67	8.12	1.3	7.49	7.45	-0.3	0.77	-0.17	0.63
109.0	51.78	27.08	83.33	103.67	8.12	1.3	7.49	7.45	-0.3	0.77	-0.17	0.63
110.0	51.8	27.16	74.33	103.67	8.12	1.3	7.3	7.45	-0.3	0.77	-0.36	0.63
111.0	51.83	27.15	101.0	103.67	8.12	1.3	7.47	7.45	-0.3	0.77	0.01	0.63
112.0	51.85	27.21	71.33	103.67	8.12	1.3	7.78	7.45	-0.3	0.77	0.09	0.63
113.0	51.88	27.21	101.0	103.67	8.12	1.3	7.47	7.45	-0.3	0.77	0.01	0.63
114.0	51.9	27.2	101.0	103.67	8.12	1.3	7.47	7.45	-0.3	0.77	0.01	0.63
115.0	51.93	27.23	104.0	103.67	8.12	1.3	6.99	7.45	-0.3	0.77	-0.44	0.63
116.0	51.95	27.28	101.0	103.67	8.11	1.3	7.47	7.45	-0.3	0.77	0.01	0.63
117.0	51.98	27.28	104.0	103.67	8.11	1.3	6.99	7.45	-0.3	0.77	-0.44	0.63
118.0	52.01	27.34	71.33	103.67	8.11	1.3	7.78	7.45	-0.3	0.77	0.09	0.63
119.0	52.03	27.36	104.0	103.67	8.11	1.3	6.99	7.45	-0.3	0.77	-0.44	0.63
120.0	52.06	27.35	83.33	103.67	8.11	1.3	7.49	7.45	-0.3	0.77	-0.17	0.63
121.0	52.08	27.34	83.33	103.67	8.11	1.3	7.49	7.45	-0.3	0.77	-0.17	0.63
122.0	52.11	27.4	97.67	103.67	8.11	1.3	7.45	7.45	-0.3	0.77	-0.31	0.63
123.0	52.13	27.43	100.67	103.67	8.11	1.3	7.33	7.45	-0.3	0.77	-0.16	0.63
124.0	52.16	27.48	108.33	103.67	8.11	1.3	6.8	7.45	-0.3	0.77	-0.28	0.63
125.0	52.18	27.48	97.67	103.67	8.1	1.3	7.45	7.45	-0.3	0.77	-0.31	0.63
126.0	52.21	27.48	93.0	103.67	8.1	1.3	7.49	7.45	-0.3	0.77	-0.64	0.63
127.0	52.23	27.48	118.33	103.67	8.1	1.3	6.95	7.45	-0.31	0.77	-0.59	0.63
128.0	52.26	27.51	118.33	103.67	8.1	1.3	6.95	7.45	-0.31	0.77	-0.59	0.63
129.0	52.28	27.54	97.67	103.67	8.1	1.3	7.45	7.45	-0.31	0.77	-0.31	0.63
130.0	52.31	27.68	97.67	103.67	8.1	1.3	7.45	7.45	-0.3	0.77	-0.31	0.63
131.0	52.34	27.7	93.0	103.67	8.1	1.3	7.49	7.45	-0.31	0.77	-0.64	0.63
132.0	52.36	27.69	129.0	103.67	8.1	1.3	6.31	7.45	-0.31	0.77	-0.56	0.63
133.0	52.39	27.76	97.67	103.67	8.1	1.3	7.45	7.45	-0.31	0.77	-0.31	0.63
134.0	52.41	27.75	97.67	103.67	8.09	1.3	7.45	7.45	-0.3	0.77	-0.31	0.63
135.0	52.44	27.79	97.67	106.67	8.09	1.3	7.45	7.56	-0.3	0.77	-0.31	0.65
136.0	52.46	27.85	88.67	106.67	8.09	1.3	7.26	7.56	-0.3	0.77	-0.51	0.65
137.0	52.49	27.87	88.67	106.67	8.09	1.3	7.26	7.56	-0.3	0.77	-0.51	0.65
138.0	52.52	27.88	97.67	106.67	8.09	1.3	7.45	7.56	-0.31	0.77	-0.31	0.65
139.0	52.54	27.92	118.33	103.67	8.09	1.3	6.95	7.45	-0.31	0.77	-0.59	0.63
140.0	52.57	27.94	93.0	106.67	8.09	1.3	7.49	7.56	-0.31	0.77	-0.64	0.65
141.0	52.59	27.96	96.33	106.67	8.09	1.3	7.52	7.56	-0.31	0.77	-0.32	0.65
142.0	52.62	27.98	96.33	106.67	8.09	1.3	7.52	7.56	-0.31	0.77	-0.32	0.65
143.0	52.64	28.01	97.67	106.67	8.09	1.3	7.45	7.56	-0.31	0.77	-0.31	0.65
144.0	52.67	28.04	97.67	106.67	8.09	1.3	7.45	7.56	-0.31	0.77	-0.31	0.65
145.0	52.7	28.05	97.67	106.67	8.09	1.3	7.45	7.56	-0.31	0.77	-0.31	0.65
146.0	52.72	28.05	97.67	106.67	8.08	1.3	7.45	7.56	-0.31	0.77	-0.31	0.65
147.0	52.75	28.12	100.67	106.67	8.08	1.3	6.97	7.56	-0.31	0.77	-0.77	0.65
148.0	52.77	28.19	97.67	106.67	8.08	1.3	7.45	7.56	-0.3	0.77	-0.31	0.65
149.0	52.8	28.22	97.67	106.67	8.08	1.31	7.45	7.56	-0.3	0.77	-0.31	0.65
150.0	52.83	28.21	97.67	106.67	8.08	1.3	7.45	7.56	-0.3	0.77	-0.31	0.65
151.0	52.85	28.24	97.67	106.67	8.08	1.3	7.45	7.56	-0.3	0.77	-0.31	0.65
152.0	52.88	28.27	97.67	106.67	8.08	1.3	7.45	7.56	-0.3	0.77	-0.31	0.65
153.0	52.9	28.51	179.33	106.67	8.08	1.3	6.24	7.56	-0.3	0.77	-0.67	0.65
154.0	52.93	28.57	158.67	103.67	8.08	1.31	6.74	7.45	-0.3	0.77	-0.39	0.63
155.0	52.96	28.56	144.33	103.67	8.07	1.3	6.78	7.45	-0.3	0.77	-0.25	0.63
156.0	52.98	28.58	161.67	103.67	8.07	1.3	6.26	7.45	-0.3	0.77	-0.84	0.63
157.0	53.01	28.57	161.67	103.67	8.07	1.3	6.26	7.45	-0.3	0.77	-0.84	0.63
158.0	53.04	28.9	177.67	103.67	8.07	1.3	6.78	7.45	-0.3	0.77	-0.88	0.63
159.0	53.06	28.9	177.67	103.67	8.07	1.3	6.78	7.45	-0.3	0.77	-0.88	0.63
160.0	53.09	29.11	177.67	103.67	8.07	1.3	6.78	7.45	-0.3	0.77	-0.88	0.63
161.0	53.11	29.13	177.67	103.67	8.07	1.3	6.78	7.45	-0.3	0.77	-0.88	0.63
162.0	53.14	29.14	188.33	103.67	8.07	1.3	6.13	7.45	-0.3	0.77	-0.85	0.63
163.0	53.17	29.26	206.0	103.67	8.07	1.3	6.11	7.45	-0.3	0.77	-0.68	0.63
164.0	53.19	29.25	206.0	103.67	8.07	1.3	6.11	7.45	-0.3	0.77	-0.68	0.63
165.0	53.22	29.25	185.33	103.67	8.07	1.3	6.61	7.45	-0.3	0.77	-0.4	0.63
166.0	53.25	29.3	177.67	103.67	8.06	1.3	6.78	7.45	-0.3	0.77	-0.88	0.63
167.0	53.27	29.35	177.67	103.67	8.06	1.3	6.78	7.45	-0.3	0.77	-0.88	0.63
168.0	53.3	29.42	177.67	103.67	8.06	1.3	6.78	7.45	-0.3	0.77	-0.88	0.63
169.0	53.33	29.45	177.67	103.67	8.06	1.3	6.78	7.45	-0.3	0.77	-0.88	0.63
170.0	53.35	29.46	177.67	103.67	8.06	1.31	6.78	7.45	-0.3	0.77	-0.88	0.63
171.0	53.38	29.49	177.67	103.67	8.06	1.31	6.78	7.45	-0.3	0.77	-0.88	0.63
172.0	53.41	29.71	177.67	103.67	8.06	1.31	6.78	7.45	-0.3	0.77	-0.88	0.63
173.0	53.43	29.73	177.67	103.67	8.06	1.31	6.78	7.45	-0.3	0.77	-0.88	0.63
174.0	53.46	29.73	188.33	103.67	8.06	1.31	6.13	7.45	-0.3	0.77	-0.85	0.63
175.0	53.49	29.8	185.33	103.67	8.06	1.31	6.61	7.45	-0.3	0.77	-0.4	0.63
176.0	53.51	29.84	185.33	103.67	8.06	1.31	6.61	7.45	-0.3	0.77	-0.4	0.63
177.0	53.54	29.89	185.33	103.67	8.06	1.31	6.61	7.45	-0.3	0.77	-0.4	0.63
178.0	53.57	29.95	185.33	103.67	8.06	1.31	6.61	7.45	-0.3	0.77	-0.4	0.63
179.0	53.59	29.95	185.33	103.67	8.06	1.31	6.61	7.45	-0.3	0.77	-0.4	0.63
180.0	53.62	29.96	177.67	103.67	8.05	1.31	6.78	7.45	-0.3	0.77	-0.88	0.63
181.0	53.65	29.99	188.33	103.67	8.05	1.31	6.13	7.45	-0.3	0.77	-0.85	0.63
182.0	53.67	30.07	177.67	103.67	8.05	1.31	6.78	7.45	-0.3	0.77	-0.88	0.63
183.0	53.7	30.08	177.67	103.67	8.05	1.31	6.78	7.45	-0.3	0.77	-0.88	0.63
184.0	53.73	30.1	188.33	103.67	8.05	1.31	6.13	7.45	-0.3	0.77	-0.85	0.63
185.0	53.75	30.09	188.33	103.67	8.05	1.31	6.13	7.45	-0.3	0.77	-0.85	0.63
186.0	53.78	30.11	177.67	103.67	8.05	1.31	6.78	7.45	-0.3	0.77	-0.88	0.63
187.0	53.81	30.14	185.33	103.67	8.05	1.31	6.61	7.45	-0.3	0.77	-0.4	0.63
188.0	53.83	30.29	180.67	103.67	8.05	1.31	6.66	7.45	-0.3	0.77	-0.73	0.63
189.0	53.86	30.29	177.67	103.67	8.05	1.31	6.78	7.45	-0.3	0.77	-0.88	0.63
190.0	53.89	30.33	185.33	103.67	8.04	1.31	6.61	7.45	-0.3	0.77	-0.4	0.63
191.0	53.92	30.4	193.67	103.67	8.04	1.31	6.33	7.45	-0.3	0.77	-1.01	0.63
192.0	53.94	30.39	185.33	103.67	8.04	1.31	6.61	7.45	-0.3	0.77	-0.4	0.63
193.0	53.97	30.39	185.33	103.67	8.04	1.31	6.61	7.45	-0.3	0.77	-0.4	0.63
194.0	54.0	30.41	176.33	103.67	8.04	1.31	6.43	7.45	-0.3	0.77	-0.59	0.63
195.0	54.02	30.4	176.33	103.67	8.04	1.31	6.43	7.45	-0.3	0.77	-0.59	0.63
196.0	54.05	30.39	185.33	103.67	8.04	1.31	6.61	7.45	-0.3	0.77	-0.4	0.63
197.0	54.05	30.39	185.33	103.67	8.04	1.31	6.61	7.45	-0.3	0.77	-0.4	0.63
198.0	54.08	30.45	185.33	103.67	8.03	1.31	6.61	7.45	-0.3	0.77	-0.4	0.63
199.0	54.11	30.47	180.67	103.67	8.03	1.31	6.66	7.45	-0.3	0.77	-0.73	0.63
200.0	54.14	30.46	171.0	103.67	8.03	1.31	6.65	7.45	-0.3	0.77	-0.25	0.63
201.0	54.16	30.5	171.0	103.67	8.03	1.31	6.65	7.45	-0.3	0.77	-0.25	0.63
202.0	54.19	30.52	206.0	103.67	8.03	1.31	6.11	7.45	-0.3	0.77	-0.68	0.63
203.0	54.22	30.53	185.33	103.67	8.03	1.31	6.61	7.45	-0.3	0.77	-0.4	0.63
204.0	54.25	30.52	185.33	103.67	8.03	1.3	6.61	7.45	-0.3	0.77	-0.4	0.63
205.0	54.27	30.6	185.33	103.67	8.03	1.3	6.61	7.45	-0.3	0.77	-0.4	0.63
206.0	54.3	30.6	185.33	103.67	8.02	1.3	6.61	7.45	-0.3	0.77	-0.4	0.63
207.0	54.33	30.61	188.33	103.67	8.02	1.3	6.13	7.45	-0.3	0.77	-0.85	0.63
208.0	54.36	30.65	188.33	103.67	8.02	1.3	6.13	7.45	-0.3	0.77	-0.85	0.63
209.0	54.38	30.68	188.33	103.67	8.02	1.31	6.13	7.45	-0.3	0.77	-0.85	0.63
210.0	54.41	30.69	185.33	103.67	8.02	1.31	6.61	7.45	-0.3	0.77	-0.4	0.63
211.0	54.44	30.7	185.33	103.67	8.02	1.31	6.61	7.45	-0.3	0.77	-0.4	0.63
212.0	54.47	30.72	185.33	103.67	8.02	1.31	6.61	7.45	-0.3	0.77	-0.4	0.63
213.0	54.49	30.78	185.33	103.67	8.02	1.31	6.61	7.45	-0.3	0.77	-0.4	0.63
214.0	54.52	30.77	206.0	103.67	8.02	1.31	6.11	7.45	-0.3	0.77	-0.68	0.63
215.0	54.55	30.8	185.33	103.67	8.02	1.31	6.61	7.45	-0.3	0.77	-0.4	0.63
216.0	54.58	30.97	185.33	103.67	8.01	1.31	6.61	7.45	-0.3	0.77	-0.4	0.63
217.0	54.61	31.07	206.0	103.67	8.01	1.31	6.11	7.45	-0.3	0.77	-0.68	0.63
218.0	54.63	31.09	185.33	103.67	8.01	1.31	6.61	7.45	-0.3	0.77	-0.4	0.63
219.0	54.66	31.12	229.0	87.67	8.01	1.31	6.09	7.55	-0.3	0.77	-0.92	0.65
220.0	54.69	31.12	185.33	87.67	8.01	1.31	6.61	7.55	-0.3	0.77	-0.4	0.65
221.0	54.72	31.26	185.33	87.67	8.01	1.31	6.61	7.55	-0.3	0.77	-0.4	0.65
222.0	54.75	31.28	185.33	87.67	8.01	1.31	6.61	7.55	-0.3	0.77	-0.4	0.65
223.0	54.77	31.3	193.67	87.67	8.01	1.31	6.33	7.55	-0.3	0.77	-1.01	0.65
224.0	54.8	31.41	176.33	87.67	8.01	1.31	6.43	7.55	-0.3	0.77	-0.59	0.65
225.0	54.83	31.48	180.67	87.67	8.01	1.31	6.66	7.55	-0.3	0.77	-0.73	0.65
226.0	54.86	31.55	185.33	87.67	8.01	1.31	6.61	7.55	-0.3	0.77	-0.4	0.65
227.0	54.89	31.61	193.67	87.67	8.01	1.32	6.33	7.55	-0.3	0.77	-1.01	0.65
228.0	54.91	31.63	180.67	87.67	8.01	1.32	6.66	7.55	-0.3	0.77	-0.73	0.65
229.0	54.94	31.71	185.33	87.67	8.01	1.32	6.61	7.55	-0.3	0.77	-0.4	0.65
230.0	54.97	31.72	206.0	112.33	8.01	1.32	6.11	7.25	-0.3	0.77	-0.68	0.6
231.0	55.0	31.77	193.67	112.33	8.01	1.32	6.33	7.25	-0.3	0.77	-1.01	0.6
232.0	55.03	31.77	193.67	112.33	8.0	1.32	6.33	7.25	-0.3	0.77	-1.01	0.6
233.0	55.05	31.85	193.67	112.33	8.0	1.32	6.33	7.25	-0.3	0.77	-1.01	0.6
234.0	55.08	31.85	185.33	112.33	8.0	1.32	6.61	7.25	-0.3	0.77	-0.4	0.6
235.0	55.11	31.84	185.33	112.33	8.0	1.32	6.61	7.25	-0.3	0.77	-0.4	0.6
236.0	55.14	31.83	185.33	112.33	8.0	1.32	6.61	7.25	-0.3	0.77	-0.4	0.6
237.0	55.17	31.89	185.33	112.33	8.0	1.32	6.61	7.25	-0.3	0.77	-0.4	0.6
238.0	55.2	32.06	206.0	112.33	8.0	1.32	6.11	7.25	-0.3	0.77	-0.68	0.6
239.0	55.23	32.11	197.67	112.33	8.0	1.32	6.41	7.25	-0.3	0.77	-0.64	0.6
240.0	55.25	32.12	193.67	112.33	8.0	1.32	6.33	7.25	-0.3	0.77	-1.01	0.6
241.0	55.28	32.14	193.67	112.33	8.0	1.32	6.33	7.25	-0.3	0.77	-1.01	0.6
242.0	55.31	32.16	185.33	112.33	7.99	1.32	6.61	7.25	-0.3	0.77	-0.4	0.6
243.0	55.34	32.21	193.67	112.33	7.99	1.32	6.33	7.25	-0.3	0.77	-1.01	0.6
244.0	55.37	32.22	193.67	112.33	7.99	1.32	6.33	7.25	-0.3	0.77	-1.01	0.6
245.0	55.4	32.3	193.67	112.33	7.99	1.32	6.33	7.25	-0.3	0.77	-1.01	0.6
246.0	55.43	32.38	229.0	112.33	7.99	1.32	6.09	7.25	-0.3	0.77	-0.92	0.6
247.0	55.45	32.39	180.67	112.33	7.99	1.32	6.66	7.25	-0.3	0.77	-0.73	0.6
248.0	55.48	32.37	180.67	112.33	7.99	1.32	6.66	7.25	-0.3	0.77	-0.73	0.6
249.0	55.51	32.37	180.67	112.33	7.99	1.32	6.66	7.25	-0.3	0.77	-0.73	0.6
250.0	55.54	32.39	185.33	112.33	7.99	1.32	6.61	7.25	-0.3	0.77	-0.4	0.6
251.0	55.57	32.44	185.33	112.33	7.99	1.32	6.61	7.25	-0.3	0.77	-0.4	0.6
252.0	55.6	32.45	185.33	112.33	7.98	1.32	6.61	7.25	-0.3	0.77	-0.4	0.6
253.0	55.63	32.46	188.33	112.33	7.98	1.32	6.13	7.25	-0.3	0.77	-0.85	0.6
254.0	55.66	32.49	188.33	112.33	7.98	1.32	6.13	7.25	-0.3	0.77	-0.85	0.6
255.0	55.68	32.55	188.33	112.33	7.98	1.32	6.13	7.25	-0.3	0.77	-0.85	0.6
