Iter	size_mean	size_sd	size_best3	size_best3_hyd	ent_mean	ent_sd	ent_best3	ent_best3_hyd	hyd_mean	hyd_sd	hyd_best3	hyd_best3_hyd
0.0	49.19	23.69	NA	NA	8.24	1.32	NA	NA	-0.3	0.79	NA	NA
1.0	49.21	23.85	78.67	79.0	8.24	1.32	7.53	7.75	-0.3	0.79	-0.5	0.68
2.0	49.23	23.84	78.67	79.0	8.23	1.32	7.53	7.75	-0.3	0.79	-0.5	0.68
3.0	49.26	23.88	83.33	79.0	8.23	1.32	7.49	7.75	-0.3	0.79	-0.17	0.68
4.0	49.28	23.87	83.33	79.0	8.23	1.32	7.49	7.75	-0.3	0.79	-0.17	0.68
5.0	49.3	23.88	74.33	79.0	8.23	1.32	7.3	7.75	-0.3	0.79	-0.36	0.68
6.0	49.32	24.17	74.33	79.0	8.23	1.32	7.3	7.75	-0.29	0.79	-0.36	0.68
7.0	49.35	24.16	74.33	79.0	8.23	1.31	7.3	7.75	-0.29	0.79	-0.36	0.68
8.0	49.37	24.17	74.33	79.0	8.23	1.32	7.3	7.75	-0.3	0.79	-0.36	0.68
9.0	49.39	24.19	75.67	79.0	8.23	1.32	8.01	7.75	-0.3	0.79	-0.04	0.68
10.0	49.41	24.19	77.0	79.0	8.23	1.32	7.5	7.75	-0.3	0.79	-0.99	0.68
11.0	49.44	24.29	83.33	79.0	8.22	1.32	7.49	7.75	-0.3	0.79	-0.17	0.68
12.0	49.46	24.36	83.33	79.0	8.22	1.32	7.49	7.75	-0.3	0.79	-0.17	0.68
13.0	49.48	24.41	83.33	79.0	8.22	1.32	7.49	7.75	-0.3	0.79	-0.17	0.68
14.0	49.51	24.41	74.0	79.0	8.22	1.32	7.98	7.75	-0.3	0.79	-0.54	0.68
15.0	49.53	24.42	77.0	79.0	8.22	1.31	7.5	7.75	-0.3	0.79	-0.99	0.68
16.0	49.55	24.44	74.0	79.0	8.22	1.31	7.98	7.75	-0.3	0.79	-0.54	0.68
17.0	49.57	24.43	74.0	79.0	8.22	1.31	7.98	7.75	-0.3	0.79	-0.54	0.68
18.0	49.6	24.49	77.0	79.0	8.22	1.31	7.5	7.75	-0.3	0.79	-0.99	0.68
19.0	49.62	24.64	77.0	79.0	8.22	1.31	7.5	7.75	-0.29	0.78	-0.99	0.68
20.0	49.64	24.64	77.0	79.0	8.22	1.31	7.5	7.75	-0.29	0.78	-0.99	0.68
21.0	49.67	24.66	83.33	79.0	8.21	1.31	7.49	7.75	-0.29	0.78	-0.17	0.68
22.0	49.69	24.67	83.33	79.0	8.21	1.31	7.49	7.75	-0.29	0.78	-0.17	0.68
23.0	49.71	24.71	83.33	79.0	8.21	1.32	7.49	7.75	-0.29	0.78	-0.17	0.68
24.0	49.74	24.7	83.33	79.0	8.21	1.31	7.49	7.75	-0.29	0.78	-0.17	0.68
25.0	49.76	24.7	83.33	79.0	8.21	1.31	7.49	7.75	-0.3	0.78	-0.17	0.68
26.0	49.78	24.77	83.33	79.0	8.21	1.31	7.49	7.75	-0.3	0.78	-0.17	0.68
27.0	49.81	24.81	71.33	79.0	8.21	1.31	7.78	7.75	-0.3	0.78	0.09	0.68
28.0	49.83	24.8	83.33	79.0	8.21	1.31	7.49	7.75	-0.3	0.78	-0.17	0.68
29.0	49.85	24.8	69.33	79.0	8.21	1.31	8.02	7.75	-0.29	0.78	-0.87	0.68
30.0	49.87	24.82	69.33	79.0	8.2	1.31	8.02	7.75	-0.3	0.78	-0.87	0.68
31.0	49.9	24.84	69.33	79.0	8.2	1.31	8.02	7.75	-0.3	0.78	-0.87	0.68
32.0	49.92	24.82	69.33	79.0	8.2	1.31	8.02	7.75	-0.3	0.78	-0.87	0.68
33.0	49.94	24.82	69.33	79.0	8.2	1.31	8.02	7.75	-0.3	0.78	-0.87	0.68
34.0	49.97	24.83	74.33	79.0	8.2	1.31	7.3	7.75	-0.3	0.78	-0.36	0.68
35.0	49.99	24.87	83.33	79.0	8.2	1.31	7.49	7.75	-0.3	0.78	-0.17	0.68
36.0	50.01	24.88	83.33	79.0	8.2	1.31	7.49	7.75	-0.3	0.78	-0.17	0.68
37.0	50.04	24.87	83.33	79.0	8.19	1.31	7.49	7.75	-0.3	0.78	-0.17	0.68
38.0	50.06	24.86	71.33	79.0	8.19	1.3	7.78	7.75	-0.3	0.78	0.09	0.68
39.0	50.08	24.86	75.67	79.0	8.19	1.3	8.01	7.75	-0.3	0.78	-0.04	0.68
40.0	50.11	24.92	77.0	76.67	8.19	1.3	7.5	7.75	-0.3	0.78	-0.99	0.69
41.0	50.13	24.92	77.0	76.67	8.19	1.3	7.5	7.75	-0.3	0.78	-0.99	0.69
42.0	50.15	24.94	77.0	76.67	8.19	1.3	7.5	7.75	-0.3	0.78	-0.99	0.69
43.0	50.18	24.95	83.33	76.67	8.19	1.3	7.49	7.75	-0.3	0.78	-0.17	0.69
44.0	50.2	25.04	84.67	103.67	8.19	1.3	7.33	7.45	-0.3	0.78	-0.51	0.63
45.0	50.23	25.06	82.0	103.67	8.19	1.3	7.14	7.45	-0.3	0.78	0.12	0.63
46.0	50.25	25.1	77.0	103.67	8.19	1.3	7.5	7.45	-0.3	0.78	-0.99	0.63
47.0	50.27	25.13	74.33	103.67	8.18	1.3	7.3	7.45	-0.3	0.78	-0.36	0.63
48.0	50.3	25.56	74.33	103.67	8.18	1.3	7.3	7.45	-0.3	0.78	-0.36	0.63
49.0	50.32	25.61	77.0	103.67	8.18	1.3	7.5	7.45	-0.3	0.78	-0.99	0.63
50.0	50.34	25.6	77.0	103.67	8.18	1.3	7.5	7.45	-0.3	0.78	-0.99	0.63
51.0	50.37	25.62	77.0	103.67	8.18	1.3	7.5	7.45	-0.3	0.78	-0.99	0.63
52.0	50.39	25.65	83.33	103.67	8.18	1.3	7.49	7.45	-0.3	0.78	-0.17	0.63
53.0	50.41	25.65	83.33	103.67	8.18	1.3	7.49	7.45	-0.3	0.78	-0.17	0.63
54.0	50.44	25.7	77.0	103.67	8.18	1.3	7.5	7.45	-0.3	0.78	-0.99	0.63
55.0	50.46	25.71	75.67	103.67	8.18	1.3	8.01	7.45	-0.3	0.78	-0.04	0.63
56.0	50.49	25.73	71.33	103.67	8.18	1.3	7.78	7.45	-0.3	0.78	0.09	0.63
57.0	50.51	25.77	75.67	103.67	8.18	1.3	8.01	7.45	-0.3	0.78	-0.04	0.63
58.0	50.53	25.8	71.33	103.67	8.18	1.3	7.78	7.45	-0.3	0.78	0.09	0.63
59.0	50.56	25.81	71.33	103.67	8.17	1.31	7.78	7.45	-0.3	0.78	0.09	0.63
60.0	50.58	25.84	75.67	103.67	8.17	1.31	8.01	7.45	-0.3	0.78	-0.04	0.63
61.0	50.61	25.87	83.33	103.67	8.17	1.31	7.49	7.45	-0.3	0.78	-0.17	0.63
62.0	50.63	25.86	83.33	103.67	8.17	1.31	7.49	7.45	-0.3	0.78	-0.17	0.63
63.0	50.65	25.89	83.33	103.67	8.17	1.31	7.49	7.45	-0.3	0.78	-0.17	0.63
64.0	50.68	26.01	77.0	103.67	8.17	1.31	7.5	7.45	-0.3	0.78	-0.99	0.63
65.0	50.7	26.0	77.0	103.67	8.17	1.31	7.5	7.45	-0.3	0.78	-0.99	0.63
66.0	50.72	26.01	77.0	103.67	8.17	1.31	7.5	7.45	-0.3	0.78	-0.99	0.63
67.0	50.75	26.11	83.33	103.67	8.17	1.31	7.49	7.45	-0.3	0.78	-0.17	0.63
68.0	50.77	26.12	83.33	103.67	8.17	1.31	7.49	7.45	-0.3	0.78	-0.17	0.63
69.0	50.8	26.13	83.33	103.67	8.17	1.31	7.49	7.45	-0.3	0.78	-0.17	0.63
70.0	50.82	26.15	83.33	103.67	8.17	1.31	7.49	7.45	-0.3	0.78	-0.17	0.63
71.0	50.85	26.14	83.33	103.67	8.16	1.31	7.49	7.45	-0.3	0.78	-0.17	0.63
