Iter	size_mean	size_sd	size_best3	size_best3_hyd	ent_mean	ent_sd	ent_best3	ent_best3_hyd	hyd_mean	hyd_sd	hyd_best3	hyd_best3_hyd
0.0	48.8	24.02	NA	NA	8.27	1.33	NA	NA	-0.28	0.79	NA	NA
1.0	48.82	24.06	83.33	81.0	8.26	1.33	7.26	8.05	-0.28	0.79	-1.11	0.74
2.0	48.84	24.24	83.33	81.0	8.26	1.33	7.26	8.05	-0.28	0.79	-1.11	0.74
3.0	48.87	24.23	83.33	81.0	8.26	1.32	7.26	8.05	-0.28	0.79	-1.11	0.74
4.0	48.89	24.22	83.33	81.0	8.26	1.32	7.26	8.05	-0.28	0.79	-1.11	0.74
5.0	48.91	24.25	83.33	81.0	8.26	1.32	7.26	8.05	-0.28	0.79	-1.11	0.74
6.0	48.93	24.54	83.33	81.0	8.26	1.32	7.26	8.05	-0.28	0.79	-1.11	0.74
7.0	48.96	24.55	83.33	81.0	8.26	1.32	7.26	8.05	-0.28	0.79	-1.11	0.74
8.0	48.98	24.6	85.67	81.0	8.26	1.32	7.1	8.05	-0.28	0.79	-1.21	0.74
9.0	49.0	24.62	85.67	81.0	8.26	1.32	7.1	8.05	-0.28	0.79	-1.21	0.74
10.0	49.02	24.62	85.67	81.0	8.26	1.32	7.1	8.05	-0.28	0.79	-1.21	0.74
11.0	49.05	24.61	85.67	81.0	8.25	1.32	7.1	8.05	-0.28	0.79	-1.21	0.74
12.0	49.07	24.61	71.67	81.0	8.25	1.32	7.31	8.05	-0.28	0.79	-1.04	0.74
13.0	49.09	24.62	71.67	81.0	8.25	1.32	7.31	8.05	-0.28	0.79	-1.04	0.74
14.0	49.11	24.62	85.67	81.0	8.25	1.32	7.1	8.05	-0.28	0.79	-1.21	0.74
15.0	49.14	24.65	85.67	81.0	8.25	1.32	7.1	8.05	-0.28	0.79	-1.21	0.74
16.0	49.16	24.74	83.33	81.0	8.25	1.32	7.26	8.05	-0.28	0.79	-1.11	0.74
17.0	49.18	24.75	83.33	81.0	8.25	1.32	7.26	8.05	-0.28	0.79	-1.11	0.74
18.0	49.2	24.78	83.33	81.0	8.24	1.32	7.26	8.05	-0.28	0.79	-1.11	0.74
19.0	49.23	24.76	83.33	81.0	8.24	1.31	7.26	8.05	-0.28	0.79	-1.11	0.74
20.0	49.25	24.79	83.33	81.0	8.24	1.31	7.26	8.05	-0.29	0.79	-1.11	0.74
21.0	49.27	24.81	83.33	81.0	8.24	1.31	7.26	8.05	-0.29	0.79	-1.11	0.74
22.0	49.29	24.81	83.33	81.0	8.24	1.31	7.26	8.05	-0.29	0.79	-1.11	0.74
23.0	49.32	24.82	77.0	81.0	8.24	1.31	6.97	8.05	-0.29	0.79	-0.72	0.74
